ticker,name,ccy,fy_latest,score,fails,roic_latest,roic_worst5,opm,sales_cagr5,fcf_conv_5y,op_all_pos,fcf_all_pos,equity_neg,warn_anomaly,op_src,rev_tag,roic_ex_latest,roic_ex_worst,ic_ex_neg,cash_pct,gw_pct
AZO,AUTOZONE INC,USD,2025,7,,0.5296,0.5296,0.1906,0.0667,0.9196,True,True,True,False,reported,Revenues,0.5577,0.5577,False,5.0,5.6
ORLY,O Reilly Automotive Inc,USD,2025,7,,0.5204,0.5204,0.1946,0.0747,0.9473,True,True,True,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.5403,0.5403,False,3.7,18.0
RELX,RELX PLC,GBP,2025,7,,1.0107,0.4605,0.3156,0.0727,1.3712,True,True,False,False,reported,RevenueFromContractsWithCustomers,1.0699,0.4772,False,5.5,335.2
NATH,"NATHAN’S FAMOUS, INC.",USD,2026,7,,0.7545,0.4435,0.1857,0.0898,1.0076,True,True,True,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,3.3418,3.3418,False,77.4,0.3
LLY,ELI LILLY & Co,USD,2025,7,,0.4924,0.431,0.6602,0.2317,0.9281,True,True,False,False,derived,Revenues,0.5504,0.4691,False,10.5,8.5
MANH,"MANHATTAN ASSOCIATES, INC.",USD,2025,7,,0.7022,0.4234,0.2587,0.1298,1.4702,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,,,True,104.4,19.8
IDXX,IDEXX LABORATORIES INC /DE,USD,2025,7,,0.5228,0.3971,0.316,0.0756,0.87,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.573,0.4631,False,8.8,20.1
MA,Mastercard Inc,USD,2025,7,,0.5584,0.3755,0.5763,0.1479,1.0907,True,True,False,False,reported,Revenues,0.9232,0.5775,False,39.5,35.8
RACE,Ferrari N.V.,EUR,2025,7,,0.4266,0.374,0.2952,0.1373,1.0807,True,True,False,False,reported,Revenue,0.6833,0.659,False,37.6,20.1
ATMU,Atmus Filtration Technologies Inc.,USD,2025,7,,0.6241,0.3536,0.1695,0.0523,0.7223,True,True,False,True,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.6241,0.3536,False,0.0,0.0
FICO,Fair Isaac Corp,USD,2025,7,,0.5578,0.3478,0.4645,0.1089,1.1774,True,True,True,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.6214,0.4192,False,10.2,59.8
LULU,lululemon athletica inc.,USD,2026,7,,0.352,0.3333,0.1991,0.1542,0.8078,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.352,0.3333,False,0.0,3.7
TPL,Texas Pacific Land Corporation,USD,2025,7,,0.3207,0.3207,0.7419,0.1534,1.0534,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.356,0.356,False,9.9,0.0
KO,COCA COLA CO,USD,2025,7,,0.338,0.3176,0.2871,0.0553,0.7547,True,True,False,False,reported,Revenues,0.4965,0.4965,False,31.9,48.2
PNRG,PrimeEnergy Resources Corporation,USD,2025,7,,0.6024,0.3171,0.87,0.2709,2.3876,True,True,False,False,derived,Revenues,0.6239,0.3434,False,3.4,0.0
NVO,NOVO NORDISK A/S,DKK,2025,7,,0.3103,0.3103,0.413,0.2172,0.8486,True,True,False,False,reported,Revenue,0.3378,0.3378,False,8.1,0.0
ASML,ASML HOLDING NV,EUR,2025,7,,0.372,0.3077,0.346,0.151,1.1121,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.8359,0.6451,False,55.5,19.1
ROL,ROLLINS INC,USD,2025,7,,0.4174,0.3076,0.193,0.116,1.1777,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.4501,0.3326,False,7.3,100.0
ADP,AUTOMATIC DATA PROCESSING INC,USD,2025,7,,0.4207,0.3034,0.2632,0.0819,1.1612,True,True,False,False,derived,RevenueFromContractWithCustomerExcludingAssessedTax,1.8452,0.4326,False,77.2,32.2
WM,"Waste Management, Inc",USD,2025,7,,0.318,0.2991,0.1709,0.0888,0.9467,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.3241,0.3036,False,1.9,129.7
FTNT,"FORTINET, INC.",USD,2025,7,,0.9497,0.2903,0.3066,0.1943,1.367,True,True,True,True,reported,RevenueFromContractWithCustomerExcludingAssessedTax,,,True,143.9,14.8
DECK,DECKERS OUTDOOR CORP,USD,2026,7,,0.3991,0.2899,0.2308,0.148,0.962,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,1.6842,0.6416,False,76.3,0.6
KLAC,KLA CORPORATION,USD,2025,7,,0.3745,0.2873,0.4125,0.1513,0.965,True,True,False,False,derived,RevenueFromContractWithCustomerExcludingAssessedTax,0.4661,0.3581,False,19.7,16.9
IHG,InterContinental Hotels Group PLC,USD,2025,7,,0.6482,0.2861,0.2309,0.1559,1.3111,True,True,True,False,reported,RevenueFromContractsWithCustomers+Revenue,,,True,77.3,22.9
FAST,FASTENAL CO,USD,2025,7,,0.3215,0.2802,0.2019,0.0807,0.8318,True,True,False,False,reported,RevenueFromContractWithCustomerExcludingAssessedTax,0.345,0.3009,False,6.8,0.0
