sec,nm,yrs,opm,netcash,hoard,cyc,per,covid
7034,株式会社プロレド・パートナーズ,8,40.2,True,True,False,18.68,
478A,株式会社フツパー,1,31.61,True,True,False,25.99,
9552,株式会社クオンツ総研ホールディングス,4,28.94,True,True,False,15.42,
248A,株式会社キッズスター,2,21.47,True,True,False,13.5,
4393,株式会社バンク・オブ・イノベーション,8,17.43,True,True,False,10.87,
296A,令和アカウンティング・ホールディングス株式会社,2,34.85,True,True,False,22.41,
3983,株式会社オロ,9,31.83,True,True,False,16.37,
3854,株式会社アイル,19,24.97,True,True,False,,
3920,アイビーシー株式会社,11,23.5,True,True,False,14.32,
7804,株式会社ビーアンドピー,7,15.62,True,True,False,10.78,
3092,株式会社ＺＯＺＯ,19,30.37,True,True,False,20.78,
4825,株式会社ウェザーニューズ,26,21.43,True,True,False,22.41,
8771,イー・ギャランティ株式会社,20,47.16,True,True,False,23.74,
7818,株式会社トランザクション,16,20.79,True,True,False,15.63,
6539,株式会社ＭＳ－Ｊａｐａｎ,10,21.89,True,True,False,23.67,
2492,株式会社インフォマート,20,15.22,True,True,False,53.75,
4054,日本情報クリエイト株式会社,6,19.74,True,False,False,16.55,
2157,株式会社コシダカホールディングス,19,16.59,True,True,False,17.35,True
3741,株式会社セック,23,16.76,True,True,False,19.87,
1717,明豊ファシリティワークス株式会社,23,20.76,True,False,True,11.81,
456A,ＨＵＭＡＮ　ＭＡＤＥ株式会社,3,31.75,True,True,False,10.37,
6196,株式会社ストライクグループ,10,31.18,True,True,False,10.64,
324A,株式会社ブッキングリゾート,4,29.61,True,False,False,10.96,
212A,フィットイージー株式会社,4,23.76,True,True,False,26.55,
368A,株式会社北里(北里コーポレーション),5,53.53,True,True,False,13.93,
2222,寿スピリッツ株式会社,32,23.61,True,True,False,29.93,True
7089,フォースタートアップス株式会社,6,21.26,True,True,False,12.73,
9343,株式会社アイビス,9,24.02,True,True,False,16.15,
4733,株式会社オービックビジネスコンサルタント,27,45.88,True,True,False,30.32,
6101,株式会社ツガミ,77,26.48,True,False,True,19.02,
7079,ＷＤＢココ株式会社,7,19.88,True,True,False,9.34,
2317,株式会社システナ,24,16.28,True,True,False,13.4,False
3763,株式会社プロシップ,21,34.93,True,True,False,20.13,
3679,株式会社じげん,13,20.29,True,True,False,9.75,True
6323,ローツェ株式会社,29,24.19,True,True,True,34.68,
6248,株式会社横田製作所,13,20.36,True,True,False,9.81,
5803,株式会社フジクラ,77,15.96,True,False,True,48.38,
332A,ミーク株式会社,4,18.13,True,True,False,14.21,
6432,株式会社竹内製作所,24,16.73,True,False,True,12.4,
5706,三井金属株式会社,76,17.42,False,False,True,20.0,
5038,株式会社eWeLL,5,45.34,True,True,False,28.15,
3984,株式会社ユーザーローカル,10,43.03,True,True,False,15.54,
6200,株式会社インソース,11,41.2,True,True,False,14.11,
9554,株式会社AViC,5,27.02,True,True,False,15.87,
3989,シェアリングテクノロジー株式会社,10,24.18,True,True,False,22.71,
9467,株式会社アルファポリス,13,20.81,True,True,False,12.6,
4413,株式会社ボードルア,6,19.38,True,True,False,35.2,
5589,株式会社オートサーバー,4,36.9,True,True,False,13.61,
4495,株式会社アイキューブドシステムズ,7,24.14,True,True,False,12.2,
2436,共同ピーアール株式会社,22,15.23,True,True,False,11.6,
4498,サイバートラスト株式会社,6,19.74,True,True,False,20.09,
3940,株式会社ノムラシステムコーポレーション,11,17.65,True,True,False,15.95,
2163,株式会社アルトナー,20,15.12,True,True,False,16.0,
276A,ククレブ・アドバイザーズ株式会社,3,23.99,False,False,True,39.83,
1723,日本電技株式会社,24,25.49,True,True,True,18.95,
6565,ABホテル株式会社,10,39.8,False,True,True,6.39,
8117,中央自動車工業株式会社,49,24.37,True,True,False,11.97,
4971,メック株式会社,26,27.44,True,False,True,25.55,
6239,株式会社ナガオカ,12,17.05,True,False,True,12.42,
4820,株式会社EMシステムズ,26,15.54,True,True,False,25.79,
4071,株式会社プラスアルファ・コンサルティング,5,37.34,True,True,False,23.64,
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ株式会社,26,32.77,True,True,True,29.07,
441A,ＮＥ株式会社,1,35.91,True,True,False,4.06,
5139,オープンワーク株式会社,4,25.77,True,True,False,22.19,
3798,ＵＬＳグループ株式会社,,18.36,True,True,False,15.73,
